InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536414,22139,,56,2010-12-01 11:52,0.0,,United Kingdom
536544,21773,DECORATIVE ROSE BATHROOM BOTTLE,1,2010-12-01 14:32,2.51,,United Kingdom
536544,21774,DECORATIVE CATS BATHROOM BOTTLE,2,2010-12-01 14:32,2.51,,United Kingdom
536544,21786,POLKADOT RAIN HAT ,4,2010-12-01 14:32,0.85,,United Kingdom
536544,21787,RAIN PONCHO RETROSPOT,2,2010-12-01 14:32,1.66,,United Kingdom
536544,21790,VINTAGE SNAP CARDS,9,2010-12-01 14:32,1.66,,United Kingdom
536544,21791,VINTAGE HEADS AND TAILS CARD GAME ,2,2010-12-01 14:32,2.51,,United Kingdom
536544,21801,CHRISTMAS TREE DECORATION WITH BELL,10,2010-12-01 14:32,0.43,,United Kingdom
536544,21802,CHRISTMAS TREE HEART DECORATION,9,2010-12-01 14:32,0.43,,United Kingdom
536544,21803,CHRISTMAS TREE STAR DECORATION,11,2010-12-01 14:32,0.43,,United Kingdom
536544,21809,CHRISTMAS HANGING TREE WITH BELL,1,2010-12-01 14:32,2.51,,United Kingdom
536544,21810,CHRISTMAS HANGING STAR WITH BELL,3,2010-12-01 14:32,2.51,,United Kingdom
536544,21811,CHRISTMAS HANGING HEART WITH BELL,1,2010-12-01 14:32,2.51,,United Kingdom
536544,21821,GLITTER STAR GARLAND WITH BELLS ,1,2010-12-01 14:32,7.62,,United Kingdom
536544,21822,GLITTER CHRISTMAS TREE WITH BELLS,1,2010-12-01 14:32,4.21,,United Kingdom
536544,21823,PAINTED METAL HEART WITH HOLLY BELL,2,2010-12-01 14:32,2.98,,United Kingdom
536544,21844,RED RETROSPOT MUG,2,2010-12-01 14:32,5.91,,United Kingdom
536544,21851,LILAC DIAMANTE PEN IN GIFT BOX,1,2010-12-01 14:32,4.21,,United Kingdom
536544,21870,I CAN ONLY PLEASE ONE PERSON MUG,1,2010-12-01 14:32,3.36,,United Kingdom
536544,21871,SAVE THE PLANET MUG,5,2010-12-01 14:32,3.36,,United Kingdom
536544,21874,GIN AND TONIC MUG,1,2010-12-01 14:32,3.36,,United Kingdom
536544,21879,HEARTS GIFT TAPE,1,2010-12-01 14:32,1.66,,United Kingdom
536544,21884,CAKES AND BOWS GIFT  TAPE,1,2010-12-01 14:32,1.66,,United Kingdom
536544,21888,BINGO SET,1,2010-12-01 14:32,7.62,,United Kingdom
536544,21889,WOODEN BOX OF DOMINOES,2,2010-12-01 14:32,2.51,,United Kingdom
536544,21892,TRADITIONAL WOODEN CATCH CUP GAME ,3,2010-12-01 14:32,2.51,,United Kingdom
536544,21894,POTTING SHED SEED ENVELOPES,1,2010-12-01 14:32,2.51,,United Kingdom
536544,21911,GARDEN METAL SIGN ,1,2010-12-01 14:32,3.36,,United Kingdom
536544,21912,VINTAGE SNAKES & LADDERS,3,2010-12-01 14:32,7.62,,United Kingdom
536544,21913,VINTAGE SEASIDE JIGSAW PUZZLES,1,2010-12-01 14:32,7.62,,United Kingdom
536544,21914,BLUE HARMONICA IN BOX ,3,2010-12-01 14:32,2.51,,United Kingdom
536544,21915,RED  HARMONICA IN BOX ,2,2010-12-01 14:32,2.51,,United Kingdom
536544,21922,UNION STRIPE WITH FRINGE  HAMMOCK,2,2010-12-01 14:32,16.98,,United Kingdom
536544,21928,JUMBO BAG SCANDINAVIAN PAISLEY,1,2010-12-01 14:32,4.21,,United Kingdom
536544,21935,SUKI  SHOULDER BAG,1,2010-12-01 14:32,3.36,,United Kingdom
536544,21942,SKULLS DESIGN FLANNEL,2,2010-12-01 14:32,1.66,,United Kingdom
536544,21944,KITTENS DESIGN FLANNEL,1,2010-12-01 14:32,1.66,,United Kingdom
536544,21949,SET OF 6 STRAWBERRY CHOPSTICKS,1,2010-12-01 14:32,2.51,,United Kingdom
536544,21975,PACK OF 60 DINOSAUR CAKE CASES,1,2010-12-01 14:32,1.28,,United Kingdom
536544,21977,PACK OF 60 PINK PAISLEY CAKE CASES,1,2010-12-01 14:32,1.28,,United Kingdom
536544,21982,PACK OF 12 SUKI TISSUES ,1,2010-12-01 14:32,0.85,,United Kingdom
536544,21990,MODERN FLORAL STATIONERY SET,2,2010-12-01 14:32,2.51,,United Kingdom
536544,21991,BOHEMIAN COLLAGE STATIONERY SET,1,2010-12-01 14:32,2.51,,United Kingdom
536544,21992,VINTAGE PAISLEY STATIONERY SET,6,2010-12-01 14:32,2.51,,United Kingdom
536544,21993,FLORAL FOLK STATIONERY SET,4,2010-12-01 14:32,2.51,,United Kingdom
536544,22037,ROBOT BIRTHDAY CARD,1,2010-12-01 14:32,0.85,,United Kingdom
536544,22043,CHRISTMAS CARD SCREEN PRINT ,1,2010-12-01 14:32,0.43,,United Kingdom
536544,22064,PINK DOUGHNUT TRINKET POT ,1,2010-12-01 14:32,3.36,,United Kingdom
536544,22065,CHRISTMAS PUDDING TRINKET POT ,1,2010-12-01 14:32,3.36,,United Kingdom
536544,22067,CHOC TRUFFLE GOLD TRINKET POT ,1,2010-12-01 14:32,3.36,,United Kingdom
536544,22068,BLACK PIRATE TREASURE CHEST,1,2010-12-01 14:32,3.36,,United Kingdom
536544,22069,BROWN  PIRATE TREASURE CHEST ,1,2010-12-01 14:32,3.36,,United Kingdom
536544,22071,SMALL WHITE RETROSPOT MUG IN BOX ,1,2010-12-01 14:32,7.62,,United Kingdom
536544,22075,6 RIBBONS ELEGANT CHRISTMAS ,1,2010-12-01 14:32,3.36,,United Kingdom
536544,22076,6 RIBBONS EMPIRE  ,1,2010-12-01 14:32,3.36,,United Kingdom
536544,22077,6 RIBBONS RUSTIC CHARM,3,2010-12-01 14:32,3.36,,United Kingdom
536544,22080,RIBBON REEL POLKADOTS ,1,2010-12-01 14:32,3.36,,United Kingdom
536544,22081,RIBBON REEL FLORA + FAUNA ,1,2010-12-01 14:32,3.36,,United Kingdom
536544,22082,RIBBON REEL STRIPES DESIGN ,1,2010-12-01 14:32,3.36,,United Kingdom
536544,22083,PAPER CHAIN KIT RETROSPOT,4,2010-12-01 14:32,5.91,,United Kingdom
536544,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,33,2010-12-01 14:32,5.91,,United Kingdom
536544,22087,PAPER BUNTING WHITE LACE,2,2010-12-01 14:32,5.91,,United Kingdom
536544,22090,PAPER BUNTING RETROSPOT,1,2010-12-01 14:32,5.91,,United Kingdom
