CustomerID,FirstTransactionMonth,FirstTransactionDate
12346.0,2011-01-01,2011-01-18
12347.0,2010-12-01,2010-12-07
12348.0,2010-12-01,2010-12-16
12349.0,2011-11-01,2011-11-21
12350.0,2011-02-01,2011-02-02
12352.0,2011-02-01,2011-02-16
12353.0,2011-05-01,2011-05-19
12354.0,2011-04-01,2011-04-21
12355.0,2011-05-01,2011-05-09
12356.0,2011-01-01,2011-01-18
12357.0,2011-11-01,2011-11-06
12358.0,2011-07-01,2011-07-12
12359.0,2011-01-01,2011-01-12
12360.0,2011-05-01,2011-05-23
12361.0,2011-02-01,2011-02-25
12362.0,2011-02-01,2011-02-17
12363.0,2011-04-01,2011-04-11
12364.0,2011-08-01,2011-08-19
12365.0,2011-02-01,2011-02-21
12367.0,2011-12-01,2011-12-05
12370.0,2010-12-01,2010-12-14
12371.0,2011-10-01,2011-10-11
12372.0,2011-02-01,2011-02-16
12373.0,2011-02-01,2011-02-01
12374.0,2011-11-01,2011-11-14
12375.0,2011-09-01,2011-09-02
12377.0,2010-12-01,2010-12-20
12378.0,2011-08-01,2011-08-02
12379.0,2011-06-01,2011-06-22
12380.0,2011-06-01,2011-06-07
12381.0,2011-08-01,2011-08-12
12383.0,2010-12-01,2010-12-22
12384.0,2011-08-01,2011-08-10
12386.0,2010-12-01,2010-12-08
12388.0,2011-01-01,2011-01-17
12390.0,2011-09-01,2011-09-21
12391.0,2011-11-01,2011-11-18
12393.0,2011-01-01,2011-01-11
12394.0,2011-05-01,2011-05-06
12395.0,2010-12-01,2010-12-03
12397.0,2011-07-01,2011-07-27
12398.0,2011-10-01,2011-10-25
12399.0,2011-03-01,2011-03-23
12401.0,2011-02-01,2011-02-09
12402.0,2011-01-01,2011-01-20
12403.0,2011-10-01,2011-10-21
12405.0,2011-07-01,2011-07-14
12406.0,2011-06-01,2011-06-09
12407.0,2011-03-01,2011-03-20
12408.0,2011-03-01,2011-03-24
12409.0,2011-06-01,2011-06-10
12410.0,2011-02-01,2011-02-04
12412.0,2011-06-01,2011-06-23
12413.0,2011-01-01,2011-01-06
