CustomerID,Date,Country,MonthYear,Week,TotalAmount,CountOfUniqueInvoices
12346.0,2011-01-18,United Kingdom,2011-01,2011-01-17,77183.6,1
12347.0,2010-12-07,Iceland,2010-12,2010-12-06,711.79,1
12347.0,2011-01-26,Iceland,2011-01,2011-01-24,475.39,1
12347.0,2011-04-07,Iceland,2011-04,2011-04-04,636.25,1
12347.0,2011-06-09,Iceland,2011-06,2011-06-06,382.52,1
12347.0,2011-08-02,Iceland,2011-08,2011-08-01,584.9100000000001,1
12347.0,2011-10-31,Iceland,2011-10,2011-10-31,1294.32,1
12347.0,2011-12-07,Iceland,2011-12,2011-12-05,224.82,1
12348.0,2010-12-16,Finland,2010-12,2010-12-13,892.8,1
12348.0,2011-01-25,Finland,2011-01,2011-01-24,227.44,1
12348.0,2011-04-05,Finland,2011-04,2011-04-04,367.0,1
12348.0,2011-09-25,Finland,2011-09,2011-09-19,310.0,1
12349.0,2011-11-21,Italy,2011-11,2011-11-21,1757.55,1
12350.0,2011-02-02,Norway,2011-02,2011-01-31,334.4,1
12352.0,2011-02-16,Norway,2011-02,2011-02-14,296.5,1
12352.0,2011-03-01,Norway,2011-03,2011-02-28,984.6500000000001,2
12352.0,2011-03-17,Norway,2011-03,2011-03-14,120.33,1
12352.0,2011-03-22,Norway,2011-03,2011-03-21,160.33,1
12352.0,2011-09-20,Norway,2011-09,2011-09-19,366.25,1
12352.0,2011-09-28,Norway,2011-09,2011-09-26,266.25,1
12352.0,2011-11-03,Norway,2011-11,2011-10-31,311.73,1
12353.0,2011-05-19,Bahrain,2011-05,2011-05-16,89.0,1
12354.0,2011-04-21,Spain,2011-04,2011-04-18,1079.4,1
12355.0,2011-05-09,Bahrain,2011-05,2011-05-09,459.4,1
12356.0,2011-01-18,Portugal,2011-01,2011-01-17,2271.62,1
12356.0,2011-04-08,Portugal,2011-04,2011-04-04,481.46000000000004,1
12356.0,2011-11-17,Portugal,2011-11,2011-11-14,58.349999999999994,1
12357.0,2011-11-06,Switzerland,2011-11,2011-10-31,6207.67,1
12358.0,2011-07-12,Austria,2011-07,2011-07-11,484.86,1
12358.0,2011-12-08,Austria,2011-12,2011-12-05,683.2,1
12359.0,2011-01-12,Cyprus,2011-01,2011-01-10,547.5,1
12359.0,2011-02-07,Cyprus,2011-02,2011-02-07,1838.9099999999999,1
12359.0,2011-06-03,Cyprus,2011-06,2011-05-30,1109.32,1
12359.0,2011-10-13,Cyprus,2011-10,2011-10-10,2876.85,1
12360.0,2011-05-23,Austria,2011-05,2011-05-23,1083.58,1
12360.0,2011-08-19,Austria,2011-08,2011-08-15,534.7,1
12360.0,2011-10-18,Austria,2011-10,2011-10-17,1043.78,1
12361.0,2011-02-25,Belgium,2011-02,2011-02-21,189.9,1
12362.0,2011-02-17,Belgium,2011-02,2011-02-14,479.1,1
12362.0,2011-04-28,Belgium,2011-04,2011-04-25,495.24,1
12362.0,2011-07-07,Belgium,2011-07,2011-07-04,303.76,1
12362.0,2011-08-11,Belgium,2011-08,2011-08-08,469.25,1
12362.0,2011-09-28,Belgium,2011-09,2011-09-26,829.99,1
12362.0,2011-10-11,Belgium,2011-10,2011-10-10,355.8,1
12362.0,2011-10-26,Belgium,2011-10,2011-10-24,786.95,1
12362.0,2011-10-28,Belgium,2011-10,2011-10-24,499.15999999999997,1
12362.0,2011-11-04,Belgium,2011-11,2011-10-31,477.94,1
12362.0,2011-12-06,Belgium,2011-12,2011-12-05,529.04,1
12363.0,2011-04-11,Unspecified,2011-04,2011-04-11,299.1,1
12363.0,2011-08-22,Unspecified,2011-08,2011-08-22,252.9,1
12364.0,2011-08-19,Belgium,2011-08,2011-08-15,623.92,1
12364.0,2011-09-22,Belgium,2011-09,2011-09-19,79.8,1
12364.0,2011-10-30,Belgium,2011-10,2011-10-24,299.06,1
12364.0,2011-12-02,Belgium,2011-12,2011-11-28,310.32,1
12365.0,2011-02-21,Cyprus,2011-02,2011-02-21,641.38,2
12367.0,2011-12-05,Denmark,2011-12,2011-12-05,168.9,1
12370.0,2010-12-14,Cyprus,2010-12,2010-12-13,1590.82,1
12370.0,2010-12-17,Austria,2010-12,2010-12-13,277.2,1
12370.0,2011-03-10,Cyprus,2011-03,2011-03-07,938.39,1
12370.0,2011-10-19,Cyprus,2011-10,2011-10-17,739.28,1
12371.0,2011-10-11,Switzerland,2011-10,2011-10-10,1527.96,1
12371.0,2011-10-26,Switzerland,2011-10,2011-10-24,360.0,1
12372.0,2011-02-16,Denmark,2011-02,2011-02-14,399.22,1
12372.0,2011-05-11,Denmark,2011-05,2011-05-09,515.7,1
12372.0,2011-09-29,Denmark,2011-09,2011-09-26,383.12,1
12373.0,2011-02-01,Austria,2011-02,2011-01-31,364.6,1
12374.0,2011-11-14,Austria,2011-11,2011-11-14,742.9300000000001,1
12375.0,2011-09-02,Finland,2011-09,2011-08-29,230.3,1
12375.0,2011-11-29,Finland,2011-11,2011-11-28,227.20000000000002,1
12377.0,2010-12-20,Switzerland,2010-12,2010-12-20,1001.52,1
12377.0,2011-01-28,Switzerland,2011-01,2011-01-24,626.6,1
