CustomerID,Date,Country,MonthYear,TotalAmount,CountOfUniqueInvoices
12346.0,2011-01-18,United Kingdom,2011-01,77183.6,1
12347.0,2010-12-07,Iceland,2010-12,711.79,1
12347.0,2011-01-26,Iceland,2011-01,475.39,1
12347.0,2011-04-07,Iceland,2011-04,636.25,1
12347.0,2011-06-09,Iceland,2011-06,382.52,1
12347.0,2011-08-02,Iceland,2011-08,584.9100000000001,1
12347.0,2011-10-31,Iceland,2011-10,1294.32,1
12347.0,2011-12-07,Iceland,2011-12,224.82,1
12348.0,2010-12-16,Finland,2010-12,892.8,1
12348.0,2011-01-25,Finland,2011-01,227.44,1
12348.0,2011-04-05,Finland,2011-04,367.0,1
12348.0,2011-09-25,Finland,2011-09,310.0,1
12349.0,2011-11-21,Italy,2011-11,1757.55,1
12350.0,2011-02-02,Norway,2011-02,334.4,1
12352.0,2011-02-16,Norway,2011-02,296.5,1
12352.0,2011-03-01,Norway,2011-03,984.6500000000001,2
12352.0,2011-03-17,Norway,2011-03,120.33,1
12352.0,2011-03-22,Norway,2011-03,160.33,1
12352.0,2011-09-20,Norway,2011-09,366.25,1
12352.0,2011-09-28,Norway,2011-09,266.25,1
12352.0,2011-11-03,Norway,2011-11,311.73,1
12353.0,2011-05-19,Bahrain,2011-05,89.0,1
12354.0,2011-04-21,Spain,2011-04,1079.4,1
12355.0,2011-05-09,Bahrain,2011-05,459.4,1
12356.0,2011-01-18,Portugal,2011-01,2271.62,1
12356.0,2011-04-08,Portugal,2011-04,481.46000000000004,1
12356.0,2011-11-17,Portugal,2011-11,58.349999999999994,1
12357.0,2011-11-06,Switzerland,2011-11,6207.67,1
12358.0,2011-07-12,Austria,2011-07,484.86,1
12358.0,2011-12-08,Austria,2011-12,683.2,1
12359.0,2011-01-12,Cyprus,2011-01,547.5,1
12359.0,2011-02-07,Cyprus,2011-02,1838.9099999999999,1
12359.0,2011-06-03,Cyprus,2011-06,1109.32,1
12359.0,2011-10-13,Cyprus,2011-10,2876.85,1
12360.0,2011-05-23,Austria,2011-05,1083.58,1
12360.0,2011-08-19,Austria,2011-08,534.7,1
12360.0,2011-10-18,Austria,2011-10,1043.78,1
12361.0,2011-02-25,Belgium,2011-02,189.9,1
12362.0,2011-02-17,Belgium,2011-02,479.1,1
12362.0,2011-04-28,Belgium,2011-04,495.24,1
12362.0,2011-07-07,Belgium,2011-07,303.76,1
12362.0,2011-08-11,Belgium,2011-08,469.25,1
12362.0,2011-09-28,Belgium,2011-09,829.99,1
12362.0,2011-10-11,Belgium,2011-10,355.8,1
12362.0,2011-10-26,Belgium,2011-10,786.95,1
12362.0,2011-10-28,Belgium,2011-10,499.15999999999997,1
12362.0,2011-11-04,Belgium,2011-11,477.94,1
12362.0,2011-12-06,Belgium,2011-12,529.04,1
12363.0,2011-04-11,Unspecified,2011-04,299.1,1
