,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
517,536409,21866,UNION JACK FLAG LUGGAGE TAG,1,2010-12-01 11:45,1.25,17908.0,United Kingdom
527,536409,22866,HAND WARMER SCOTTY DOG DESIGN,1,2010-12-01 11:45,2.1,17908.0,United Kingdom
537,536409,22900, SET 2 TEA TOWELS I LOVE LONDON ,1,2010-12-01 11:45,2.95,17908.0,United Kingdom
539,536409,22111,SCOTTIE DOG HOT WATER BOTTLE,1,2010-12-01 11:45,4.95,17908.0,United Kingdom
555,536412,22327,ROUND SNACK BOXES SET OF 4 SKULLS,1,2010-12-01 11:49,2.95,17920.0,United Kingdom
587,536412,22273,FELTCRAFT DOLL MOLLY,1,2010-12-01 11:49,2.95,17920.0,United Kingdom
589,536412,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,1,2010-12-01 11:49,3.75,17920.0,United Kingdom
594,536412,22141,CHRISTMAS CRAFT TREE TOP ANGEL,1,2010-12-01 11:49,2.1,17920.0,United Kingdom
598,536412,21448,12 DAISY PEGS IN WOOD BOX,1,2010-12-01 11:49,1.65,17920.0,United Kingdom
600,536412,22569,FELTCRAFT CUSHION BUTTERFLY,2,2010-12-01 11:49,3.75,17920.0,United Kingdom
601,536412,21448,12 DAISY PEGS IN WOOD BOX,2,2010-12-01 11:49,1.65,17920.0,United Kingdom
604,536412,21448,12 DAISY PEGS IN WOOD BOX,2,2010-12-01 11:49,1.65,17920.0,United Kingdom
605,536412,22902,TOTE BAG I LOVE LONDON,7,2010-12-01 11:49,2.1,17920.0,United Kingdom
616,536412,21708,FOLDING UMBRELLA CREAM POLKADOT,1,2010-12-01 11:49,4.95,17920.0,United Kingdom
617,536412,22900, SET 2 TEA TOWELS I LOVE LONDON ,2,2010-12-01 11:49,2.95,17920.0,United Kingdom
618,536412,21706,FOLDING UMBRELLA RED/WHITE POLKADOT,1,2010-12-01 11:49,4.95,17920.0,United Kingdom
620,536412,85184C,S/4 VALENTINE DECOUPAGE HEART BOX,1,2010-12-01 11:49,2.95,17920.0,United Kingdom
758,536446,21651,HANGING GLASS ETCHED TEALIGHT,6,2010-12-01 12:15,1.65,15983.0,United Kingdom
831,536464,22866,HAND WARMER SCOTTY DOG DESIGN,1,2010-12-01 12:23,2.1,17968.0,United Kingdom
835,536464,22945,CHRISTMAS METAL TAGS ASSORTED ,6,2010-12-01 12:23,0.85,17968.0,United Kingdom
852,536464,21992,VINTAGE PAISLEY STATIONERY SET,1,2010-12-01 12:23,2.95,17968.0,United Kingdom
859,536464,22866,HAND WARMER SCOTTY DOG DESIGN,1,2010-12-01 12:23,2.1,17968.0,United Kingdom
891,536488,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,1,2010-12-01 12:31,2.55,17897.0,United Kingdom
1061,536522,21121,SET/10 RED POLKADOT PARTY CANDLES,1,2010-12-01 12:49,1.25,15012.0,United Kingdom
1067,536522,21122,SET/10 PINK POLKADOT PARTY CANDLES,1,2010-12-01 12:49,1.25,15012.0,United Kingdom
1140,536528,22865,HAND WARMER OWL DESIGN,1,2010-12-01 13:17,2.1,15525.0,United Kingdom
1153,536528,85114B,IVORY ENCHANTED FOREST PLACEMAT,1,2010-12-01 13:17,1.65,15525.0,United Kingdom
1159,536528,22584,PACK OF 6 PANNETONE GIFT BOXES,2,2010-12-01 13:17,2.55,15525.0,United Kingdom
1165,536528,22911,PAPER CHAIN KIT LONDON,1,2010-12-01 13:17,2.95,15525.0,United Kingdom
1166,536528,22743,MAKE YOUR OWN FLOWERPOWER CARD KIT,1,2010-12-01 13:17,2.95,15525.0,United Kingdom
1167,536528,22744,MAKE YOUR OWN MONSOON CARD KIT,2,2010-12-01 13:17,2.95,15525.0,United Kingdom
1169,536528,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,1,2010-12-01 13:17,1.95,15525.0,United Kingdom
1172,536528,84985A,SET OF 72 GREEN PAPER DOILIES,1,2010-12-01 13:17,1.45,15525.0,United Kingdom
1179,536528,22839,3 TIER CAKE TIN GREEN AND CREAM,1,2010-12-01 13:17,14.95,15525.0,United Kingdom
1205,536530,22097,SWALLOW SQUARE TISSUE BOX,1,2010-12-01 13:21,1.25,17905.0,United Kingdom
1222,536531,21498,RED RETROSPOT WRAP ,25,2010-12-01 13:23,0.42,15485.0,United Kingdom
2002,536551,22900, SET 2 TEA TOWELS I LOVE LONDON ,1,2010-12-01 14:34,2.95,17346.0,United Kingdom
2015,536551,22551,PLASTERS IN TIN SPACEBOY,1,2010-12-01 14:34,1.65,17346.0,United Kingdom
2019,536551,22112,CHOCOLATE HOT WATER BOTTLE,1,2010-12-01 14:34,4.95,17346.0,United Kingdom
2020,536551,22895,SET OF 2 TEA TOWELS APPLE AND PEARS,1,2010-12-01 14:34,2.95,17346.0,United Kingdom
2085,536557,85232B,SET OF 3 BABUSHKA STACKING TINS,1,2010-12-01 14:41,4.95,17841.0,United Kingdom
2106,536559,51014L,"FEATHER PEN,LIGHT PINK",12,2010-12-01 14:54,0.85,17873.0,United Kingdom
2195,536569,22111,SCOTTIE DOG HOT WATER BOTTLE,1,2010-12-01 15:35,4.95,16274.0,United Kingdom
2213,536569,21809,CHRISTMAS HANGING TREE WITH BELL,1,2010-12-01 15:35,1.25,16274.0,United Kingdom
3541,536637,20733,GOLD MINI TAPE MEASURE ,1,2010-12-02 11:35,0.85,18041.0,United Kingdom
3553,536637,22633,HAND WARMER UNION JACK,1,2010-12-02 11:35,2.1,18041.0,United Kingdom
3571,536637,22867,HAND WARMER BIRD DESIGN,1,2010-12-02 11:35,2.1,18041.0,United Kingdom
3589,536637,22917,HERB MARKER ROSEMARY,1,2010-12-02 11:35,0.65,18041.0,United Kingdom
3590,536637,22920,HERB MARKER BASIL,1,2010-12-02 11:35,0.65,18041.0,United Kingdom
3595,536637,20878,SET/9 CHRISTMAS T-LIGHTS SCENTED ,1,2010-12-02 11:35,1.25,18041.0,United Kingdom
3596,536637,22696,WICKER WREATH LARGE,1,2010-12-02 11:35,1.95,18041.0,United Kingdom
3601,536637,22654,DELUXE SEWING KIT ,1,2010-12-02 11:35,5.95,18041.0,United Kingdom
4004,536742,22553,PLASTERS IN TIN SKULLS,1,2010-12-02 13:14,1.65,16916.0,United Kingdom
4121,536749,85106,CUT GLASS HEXAGON T-LIGHT HOLDER,2,2010-12-02 13:49,2.55,17976.0,United Kingdom
4122,536749,21415,CLAM SHELL SMALL ,2,2010-12-02 13:49,2.1,17976.0,United Kingdom
4133,536749,22174,PHOTO CUBE,2,2010-12-02 13:49,1.65,17976.0,United Kingdom
4142,536749,22441,GROW YOUR OWN BASIL IN ENAMEL MUG,1,2010-12-02 13:49,2.1,17976.0,United Kingdom
4145,536749,22472,TV DINNER TRAY DOLLY GIRL,1,2010-12-02 13:49,4.95,17976.0,United Kingdom
4147,536749,21415,CLAM SHELL SMALL ,2,2010-12-02 13:49,2.1,17976.0,United Kingdom
4156,536749,22174,PHOTO CUBE,2,2010-12-02 13:49,1.65,17976.0,United Kingdom
4158,536749,22371,AIRLINE BAG VINTAGE TOKYO 78,1,2010-12-02 13:49,4.25,17976.0,United Kingdom
4598,536796,22376,AIRLINE BAG VINTAGE JET SET WHITE,2,2010-12-02 15:46,4.25,15574.0,United Kingdom
4601,536796,21026,SPACE OWL,1,2010-12-02 15:46,1.25,15574.0,United Kingdom
4627,536796,22585,PACK OF 6 BIRDY GIFT TAGS,1,2010-12-02 15:46,1.25,15574.0,United Kingdom
4632,536796,21967,PACK OF 12 SKULL TISSUES,1,2010-12-02 15:46,0.29,15574.0,United Kingdom
4633,536796,22906,12 MESSAGE CARDS WITH ENVELOPES,1,2010-12-02 15:46,1.65,15574.0,United Kingdom
4638,536796,22553,PLASTERS IN TIN SKULLS,1,2010-12-02 15:46,1.65,15574.0,United Kingdom
4639,536796,21967,PACK OF 12 SKULL TISSUES,1,2010-12-02 15:46,0.29,15574.0,United Kingdom
4641,536796,21982,PACK OF 12 SUKI TISSUES ,1,2010-12-02 15:46,0.29,15574.0,United Kingdom
4642,536796,21981,PACK OF 12 WOODLAND TISSUES ,1,2010-12-02 15:46,0.29,15574.0,United Kingdom
4648,536796,21328,BALLOONS  WRITING SET ,1,2010-12-02 15:46,1.65,15574.0,United Kingdom
4658,536796,21578,WOODLAND DESIGN  COTTON TOTE BAG,1,2010-12-02 15:46,2.25,15574.0,United Kingdom
4659,536796,22952,60 CAKE CASES VINTAGE CHRISTMAS,1,2010-12-02 15:46,0.55,15574.0,United Kingdom
4663,536796,22561,WOODEN SCHOOL COLOURING SET,1,2010-12-02 15:46,1.65,15574.0,United Kingdom
4672,536796,20719,WOODLAND CHARLOTTE BAG,1,2010-12-02 15:46,0.85,15574.0,United Kingdom
4675,536796,22745,POPPY'S PLAYHOUSE BEDROOM ,1,2010-12-02 15:46,2.1,15574.0,United Kingdom
4687,536796,22902,TOTE BAG I LOVE LONDON,1,2010-12-02 15:46,2.1,15574.0,United Kingdom
4716,536798,82583,HOT BATHS METAL SIGN,12,2010-12-02 15:55,2.1,17838.0,United Kingdom
4720,536798,21874,GIN AND TONIC MUG,6,2010-12-02 15:55,1.25,17838.0,United Kingdom
5171,536846,21668,RED STRIPE CERAMIC DRAWER KNOB,2,2010-12-02 19:59,1.25,14573.0,United Kingdom
5173,536846,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,2,2010-12-02 19:59,1.25,14573.0,United Kingdom
5202,536846,20982,12 PENCILS TALL TUBE SKULLS,1,2010-12-02 19:59,0.85,14573.0,United Kingdom
5204,536846,22113,GREY HEART HOT WATER BOTTLE,1,2010-12-02 19:59,3.75,14573.0,United Kingdom
5210,536846,20983,12 PENCILS TALL TUBE RED RETROSPOT,1,2010-12-02 19:59,0.85,14573.0,United Kingdom
5213,536846,20974,12 PENCILS SMALL TUBE SKULL,1,2010-12-02 19:59,0.65,14573.0,United Kingdom
5460,536863,20727,LUNCH BAG  BLACK SKULL.,1,2010-12-03 11:19,1.65,17967.0,United Kingdom
5481,536863,22745,POPPY'S PLAYHOUSE BEDROOM ,1,2010-12-03 11:19,2.1,17967.0,United Kingdom
5487,536863,22758,LARGE PURPLE BABUSHKA NOTEBOOK  ,1,2010-12-03 11:19,1.25,17967.0,United Kingdom
5489,536863,20986,BLUE CALCULATOR RULER,2,2010-12-03 11:19,1.25,17967.0,United Kingdom
5491,536863,22384,LUNCH BAG PINK POLKADOT,1,2010-12-03 11:19,1.65,17967.0,United Kingdom
5492,536863,22383,LUNCH BAG SUKI  DESIGN ,1,2010-12-03 11:19,1.65,17967.0,United Kingdom
5705,536874,22866,HAND WARMER SCOTTY DOG DESIGN,1,2010-12-03 11:35,2.1,16891.0,United Kingdom
5717,536874,22914,BLUE COAT RACK PARIS FASHION,1,2010-12-03 11:35,4.95,16891.0,United Kingdom
5726,536874,22866,HAND WARMER SCOTTY DOG DESIGN,1,2010-12-03 11:35,2.1,16891.0,United Kingdom
5729,536874,84987,SET OF 36 TEATIME PAPER DOILIES,1,2010-12-03 11:35,1.45,16891.0,United Kingdom
