,,TotalAmount,TotalAmount,TotalAmount,Date,Date
,,sum,min,max,min,max
CustomerID,Country,,,,,
12346.0,United Kingdom,77183.6,77183.6,77183.6,2011-01-18,2011-01-18
12347.0,Iceland,4310.0,224.82,1294.32,2010-12-07,2011-12-07
12348.0,Finland,1797.24,227.44,892.8,2010-12-16,2011-09-25
12349.0,Italy,1757.55,1757.55,1757.55,2011-11-21,2011-11-21
12350.0,Norway,334.4,334.4,334.4,2011-02-02,2011-02-02
12352.0,Norway,2506.04,120.33,984.65,2011-02-16,2011-11-03
12353.0,Bahrain,89.0,89.0,89.0,2011-05-19,2011-05-19
12354.0,Spain,1079.4,1079.4,1079.4,2011-04-21,2011-04-21
12355.0,Bahrain,459.4,459.4,459.4,2011-05-09,2011-05-09
12356.0,Portugal,2811.43,58.35,2271.62,2011-01-18,2011-11-17
12357.0,Switzerland,6207.67,6207.67,6207.67,2011-11-06,2011-11-06
12358.0,Austria,1168.06,484.86,683.2,2011-07-12,2011-12-08
12359.0,Cyprus,6372.58,547.5,2876.85,2011-01-12,2011-10-13
12360.0,Austria,2662.06,534.7,1083.58,2011-05-23,2011-10-18
12361.0,Belgium,189.9,189.9,189.9,2011-02-25,2011-02-25
12362.0,Belgium,5226.2300000000005,303.76,829.99,2011-02-17,2011-12-06
12363.0,Unspecified,552.0,252.9,299.1,2011-04-11,2011-08-22
12364.0,Belgium,1313.1,79.8,623.92,2011-08-19,2011-12-02
12365.0,Cyprus,641.38,641.38,641.38,2011-02-21,2011-02-21
12367.0,Denmark,168.9,168.9,168.9,2011-12-05,2011-12-05
12370.0,Austria,277.2,277.2,277.2,2010-12-17,2010-12-17
12370.0,Cyprus,3268.49,739.28,1590.82,2010-12-14,2011-10-19
12371.0,Switzerland,1887.96,360.0,1527.96,2011-10-11,2011-10-26
12372.0,Denmark,1298.04,383.12,515.7,2011-02-16,2011-09-29
12373.0,Austria,364.6,364.6,364.6,2011-02-01,2011-02-01
12374.0,Austria,742.9300000000001,742.9300000000001,742.9300000000001,2011-11-14,2011-11-14
12375.0,Finland,457.5,227.2,230.3,2011-09-02,2011-11-29
12377.0,Switzerland,1628.12,626.6,1001.52,2010-12-20,2011-01-28
12378.0,Switzerland,4008.62,4008.62,4008.62,2011-08-02,2011-08-02
12379.0,Belgium,852.24,392.4,459.84,2011-06-22,2011-09-19
12380.0,Belgium,2724.8100000000004,450.86,1040.39,2011-06-07,2011-11-18
12381.0,Norway,1845.31,4.5,1268.74,2011-08-12,2011-12-05
12383.0,Belgium,1850.56,99.45,651.16,2010-12-22,2011-06-08
12384.0,Switzerland,585.27,292.58,292.69,2011-08-10,2011-11-11
12386.0,Australia,401.9,143.0,258.9,2010-12-08,2011-01-06
12388.0,Australia,2780.66,124.05,902.09,2011-01-17,2011-11-24
12390.0,Belgium,549.84,549.84,549.84,2011-09-21,2011-09-21
12391.0,Cyprus,460.89,460.89,460.89,2011-11-18,2011-11-18
12393.0,Australia,1582.6,177.00000000000003,521.5,2011-01-11,2011-09-28
12394.0,Belgium,381.08,381.08,381.08,2011-05-06,2011-05-06
12394.0,Denmark,891.4,891.4,891.4,2011-10-07,2011-10-07
12395.0,Belgium,3018.63,149.97,506.55,2010-12-03,2011-11-20
