index,LocationName,ISO,country,region,world_region,MPI,geo,lat,lon
1,"Badakhshan, Afghanistan",AFG,Afghanistan,Badakhshan,South Asia,0.387,"(36.7347725, 70.81199529999999)",36.7347725,70.8119953
2,"Badghis, Afghanistan",AFG,Afghanistan,Badghis,South Asia,0.466,"(35.1671339, 63.7695384)",35.1671339,63.7695384
3,"Baghlan, Afghanistan",AFG,Afghanistan,Baghlan,South Asia,0.3,"(35.8042947, 69.2877535)",35.8042947,69.2877535
4,"Balkh, Afghanistan",AFG,Afghanistan,Balkh,South Asia,0.301,"(36.7550603, 66.8975372)",36.7550603,66.8975372
5,"Bamyan, Afghanistan",AFG,Afghanistan,Bamyan,South Asia,0.325,"(34.8100067, 67.8212104)",34.8100067,67.8212104
6,"Daykundi, Afghanistan",AFG,Afghanistan,Daykundi,South Asia,0.313,"(33.669495, 66.0463534)",33.669495,66.0463534
7,"Farah, Afghanistan",AFG,Afghanistan,Farah,South Asia,0.319,"(32.4464635, 62.1454133)",32.4464635,62.1454133
8,"Faryab, Afghanistan",AFG,Afghanistan,Faryab,South Asia,0.25,"(36.0795613, 64.90595499999999)",36.0795613,64.905955
9,"Ghazni, Afghanistan",AFG,Afghanistan,Ghazni,South Asia,0.245,"(33.5450587, 68.4173972)",33.5450587,68.4173972
10,"Ghor, Afghanistan",AFG,Afghanistan,Ghor,South Asia,0.384,"(34.0995776, 64.90595499999999)",34.0995776,64.905955
11,"Helmand, Afghanistan",AFG,Afghanistan,Helmand,South Asia,0.261,"(31.3636474, 63.95861110000001)",31.3636474,63.9586111
12,"Herat, Afghanistan",AFG,Afghanistan,Herat,South Asia,0.353,"(11.6155109, 104.3791912)",11.6155109,104.3791912
13,"Jawzjan, Afghanistan",AFG,Afghanistan,Jawzjan,South Asia,0.293,"(36.8969692, 65.6658568)",36.8969692,65.6658568
14,"Kabul, Afghanistan",AFG,Afghanistan,Kabul,South Asia,0.117,"(34.5553494, 69.207486)",34.5553494,69.207486
15,"Kandahar, Afghanistan",AFG,Afghanistan,Kandahar,South Asia,0.437,"(31.628871, 65.7371749)",31.628871,65.7371749
16,"Kapisa, Afghanistan",AFG,Afghanistan,Kapisa,South Asia,0.28,"(34.9810572, 69.6214562)",34.9810572,69.6214562
17,"Khost, Afghanistan",AFG,Afghanistan,Khost,South Asia,0.296,"(33.3338472, 69.9371673)",33.3338472,69.9371673
18,"Kunarha, Afghanistan",AFG,Afghanistan,Kunarha,South Asia,0.269,"(34.8465893, 71.097317)",34.8465893,71.097317
19,"Kunduz, Afghanistan",AFG,Afghanistan,Kunduz,South Asia,0.294,"(36.7285907, 68.8680663)",36.7285907,68.8680663
20,"Laghman, Afghanistan",AFG,Afghanistan,Laghman,South Asia,0.369,"(34.6897687, 70.1455805)",34.6897687,70.1455805
21,"Logar, Afghanistan",AFG,Afghanistan,Logar,South Asia,0.187,"(34.0145518, 69.1923916)",34.0145518,69.1923916
22,"Nangarhar, Afghanistan",AFG,Afghanistan,Nangarhar,South Asia,0.287,"(34.1718313, 70.6216794)",34.1718313,70.6216794
23,"Nimroz, Afghanistan",AFG,Afghanistan,Nimroz,South Asia,0.231,"(31.0261488, 62.4504154)",31.0261488,62.4504154
24,"Nooristan, Afghanistan",AFG,Afghanistan,Nooristan,South Asia,0.611,"(35.3250223, 70.90712359999999)",35.3250223,70.9071236
25,"Paktika, Afghanistan",AFG,Afghanistan,Paktika,South Asia,0.137,"(32.2645386, 68.52471489999999)",32.2645386,68.5247149
26,"Paktya, Afghanistan",AFG,Afghanistan,Paktya,South Asia,0.218,"(33.706199, 69.3831079)",33.706199,69.3831079
27,"Panjsher, Afghanistan",AFG,Afghanistan,Panjsher,South Asia,0.12,"(35.5025772, 69.9550338)",35.5025772,69.9550338
28,"Parwan, Afghanistan",AFG,Afghanistan,Parwan,South Asia,0.294,"(34.9630977, 68.81088489999999)",34.9630977,68.8108849
29,"Samangan, Afghanistan",AFG,Afghanistan,Samangan,South Asia,0.35,"(35.9807296, 67.57085359999999)",35.9807296,67.5708536
30,"Sar-E-Pul, Afghanistan",AFG,Afghanistan,Sar-E-Pul,South Asia,0.341,"(35.6707473, 66.0463534)",35.6707473,66.0463534
31,"Takhar, Afghanistan",AFG,Afghanistan,Takhar,South Asia,0.361,"(36.6698013, 69.4784541)",36.6698013,69.4784541
32,"Urozgan, Afghanistan",AFG,Afghanistan,Urozgan,South Asia,0.624,"(32.9271287, 66.1415263)",32.9271287,66.1415263
33,"Wardak, Afghanistan",AFG,Afghanistan,Wardak,South Asia,0.34,"(34.3513494, 68.2385339)",34.3513494,68.2385339
34,"Zabul, Afghanistan",AFG,Afghanistan,Zabul,South Asia,0.175,"(32.1918782, 67.1894488)",32.1918782,67.1894488
