Field Name,Data Type
Id,id
OwnerId,reference
IsDeleted,boolean
Name,string
CreatedDate,datetime
CreatedById,reference
LastModifiedDate,datetime
LastModifiedById,reference
SystemModstamp,datetime
LastActivityDate,date
LastViewedDate,datetime
LastReferencedDate,datetime
Number_of_Cows__c,double
Number_of_Goats__c,double
Been_living_in_the_same_location_for__c,string
Next_of_Kin_Name__c,string
Next_of_Kin_Surname__c,string
Number_of_Pigs__c,double
Share_name_phone_of_next_of_kin__c,picklist
Next_of_Kin_Phone_Number__c,phone
Number_of_Sheep__c,double
Sales_Manager__c,reference
Lead_Name__c,reference
Account__c,reference
Own_the_land_for_product_installation__c,picklist
How_long_have_you_been_a_farmer__c,picklist
Do_you_have_animals__c,picklist
RM_No_Sales_Telesales_Dealer_Agent__c,string
Type_of_fruits_and_vegetables_grown__c,picklist
Pest_disease_control_pest_type_usage__c,picklist
Other_machinery_and_equipment_ownership__c,picklist
Salary_amount__c,currency
Main_purpose_of_acquiring_the_product__c,picklist
Primary_decision_maker_to_buy_product__c,picklist
Main_source_of_income__c,picklist
Periodicity_of_payment__c,picklist
Compensation_for_the_help_provided__c,picklist
Duration_of_this_activity__c,picklist
Total_amount_from_pension__c,currency
Total_amount_from_salary_government__c,currency
Credit_Check_Result__c,string
Other_sources_of_income_of_the_household__c,picklist
Credit_Score__c,double
Rate_how_well_the_SA_was_able_to_educate__c,picklist
of_Kenyans_that_pay_suppliers_on_time__c,picklist
of_Kenyans_ever_defaulted_on_a_loan__c,picklist
What_would_you_do_if_you_win_Ksh100_000__c,picklist
Overall_Risk_Assessment__c,picklist
Relation_Manager__c,reference
Types_of_crops_grown__c,picklist
National_ID_Number_Lead__c,string
House_Members_F__c,boolean
Gender_Lead__c,string
Mobile_Lead__c,string
How_long_have_you_had_the_same_phone_No__c,picklist
Email_Address_Lead__c,string
County_in_which_HouseHold_resides__c,picklist
Living_in_the_same_location_for__c,picklist
Relation_with_next_of_kin__c,picklist
Number_of_Household_Members__c,picklist
Product_Lead__c,string
Ready_to_make_the_deposit_on__c,date
Amount_left_after_monthly_expenses__c,currency
Type_of_crops_grown__c,picklist
Crop_Grown__c,picklist
Wheat_sale__c,boolean
Maize_sale__c,boolean
Paddy_sale__c,boolean
Irish_potatoes_sale__c,boolean
Cassava_sale__c,boolean
Beans_sale__c,boolean
Sunflower_sale__c,boolean
Groundnuts_sale__c,boolean
Other_stable_field_crops_sale__c,boolean
Wheat_self_consumption__c,boolean
Maize_self_consumption__c,boolean
Paddy_self_consumption__c,boolean
Irish_potatoes_self_consumption__c,boolean
Cassava_self_consumption__c,boolean
Beans_self_consumption__c,boolean
Sunflower_self_consumption__c,boolean
Groundnuts_self_consumption__c,boolean
Other_staple_field_crop_self_consumption__c,boolean
Tomatoes_sale__c,boolean
Cabbage_sale__c,boolean
Spinach_sale__c,boolean
Onion_sale__c,boolean
Green_beans_sale__c,boolean
Other_fruits_and_vegetable_sale__c,boolean
Tomatoes_self_consumption__c,boolean
Cabbage_self_consumption__c,boolean
Spinach_self_consumption__c,boolean
Onion_self_consumption__c,boolean
Green_Beans_self_consumption__c,boolean
Other_fruit_vegetable_self_consumption__c,boolean
Harvest_Cycle_Per_Year__c,picklist
Same_number_as_provided_in_CDS1__c,picklist
Recall_the_call__c,picklist
Farm_acreage__c,picklist
Main_Purpose_of_acquiring_the_pump__c,picklist
How_did_you_hear_about_SunCulture_pumps__c,picklist
Other_sources_of_water__c,picklist
Hours_spent_fetching_water_every_week__c,double
Amount_paid_for_getting_water_each_week__c,currency
Amount_paid_for_water_other_pump_usage__c,currency
Customer_Data_Survey_Number__c,string
Quantity_of_water_usage_per_week__c,double
Water_tank_capacity__c,picklist
Electricity_connectivity__c,picklist
Number_of_financial_dependants__c,double
Number_of_working_age_adults_in_the_HH__c,double
Number_of_pensioners_living_in_the_HH__c,double
No_of_family_members_friends_helping__c,double
Number_of_businesses_before__c,double
Average_monthly_income__c,currency
Understand_the_products_shared_with_you__c,picklist
No_of_years_working_with_same_employer__c,double
No_of_jobs_in_the_last_5yrs__c,double
Total_amount_from_remittances__c,currency
Total_amount_from_Agriculture__c,currency
Total_amount_from_commerce_and_trade__c,currency
Total_Amt_from_salary_private_inst__c,currency
Total_amount_from_provision_of_services__c,currency
Agent_seek_to_understand_how_you_source__c,picklist
Amount_spent_on_school_fees__c,currency
Amount_spent_on_food__c,currency
Amount_spent_on_farm_inputs__c,currency
Amount_spent_on_rent__c,currency
Amount_spent_on_loans__c,currency
Amount_spent_on_other__c,currency
Currently_have_any_outstanding_loans__c,picklist
Total_amount_of_outstanding_loan_s__c,currency
No_of_months_to_finish_paying_loan_s__c,double
Preferred_banking_method__c,picklist
World_perception_supplier__c,picklist
World_perception_default__c,picklist
Number_of_loans_taken_in_the_last_2yrs__c,double
Periodicity_of_the_income__c,picklist
Like_further_clarification_on_our_Prod__c,picklist
Likelihood_to_recommend_our_Prod__c,picklist
Name_Number_of_the_recommend_client__c,string
Agent__c,reference
Survey_Completed__c,boolean
Duration_with_same_employer_5yrs_F__c,boolean
water_source_river__c,boolean
Stage__c,picklist
Account_Number__c,string
Gender_Male_F__c,boolean
World_perception_supplier_6080_F__c,boolean
Overall_Risk_Assessment_Low_Risk_F__c,boolean
Other_sources_of_water_river_F__c,boolean
Other_sources_of_water_Borehole_F__c,boolean
Do_you_have_animals_4F__c,boolean
Do_you_have_animals_3F__c,boolean
Types_of_crops_grown_1_type_F__c,boolean
Type_of_fruits_and_vegetables_grown_4F__c,boolean
Type_of_fruits_and_vegetables_grown_0F__c,boolean
CDS1Tracker__c,picklist
Birth_Date__c,picklist
Date_of_Birth_46_55yrs_F__c,boolean
Date_of_Birth_older_than_55yrs_F__c,boolean
Hear_about_SunCulture_pumps_Online_F__c,boolean
Hear_about_SunCulture_pumps_Radio_F__c,boolean
Other_Sources_of_HH_Income_Pension_F__c,boolean
Date_of_Birth__c,date
Email__c,email
National_ID_Number__c,string
Gender__c,picklist
Mobile_Number__c,phone
Working_age_adults_F__c,double
Harvest_Cycle_F__c,double
RM_Name__c,reference
cds_source__c,string
Did_you_previously_own_a_water_pump__c,picklist
carbon_credit_which_pump_type__c,picklist
CDS1_Date__c,datetime
CDS2_Date__c,datetime
Number_of_Outstanding_Loans__c,double
Depth_of_the_Water_Source__c,double
Total_Income__c,currency
Total_Expenses__c,currency
Remaining_Income_after_Expenses__c,currency
Lead_Record__c,reference
Creditscore__c,double
Clients_County_Ug__c,string
Clients_District__c,string
Clients_Location__Latitude__s,double
Clients_Location__Longitude__s,double
Clients_Location__c,location
Clients_Nearest_Landmark__c,string
Clients_Parish__c,string
Clients_Sub_County__c,string
Clients_Village_ug__c,string
Amount_Spent_on_Treatment_Medical__c,double
Reason_for_decline__c,textarea
Seasonality_of_the_Water_Source__c,textarea
Product__c,picklist
